CMDLINE .\SDL1.exe
MEM 2.109375 1721737281.5906
MEM 18.574219 1721737281.6917
MEM 57.609375 1721737281.7920
MEM 57.609375 1721737281.8925
MEM 57.609375 1721737281.9930
MEM 57.609375 1721737282.0936
MEM 57.625000 1721737282.1938
MEM 57.625000 1721737282.2945
MEM 57.625000 1721737282.3948
MEM 57.625000 1721737282.4954
MEM 57.625000 1721737282.5958
MEM 57.625000 1721737282.6960
MEM 57.625000 1721737282.7966
MEM 57.625000 1721737282.8974
MEM 57.625000 1721737282.9976
MEM 57.667969 1721737283.0983
MEM 57.683594 1721737283.1988
MEM 57.683594 1721737283.2991
MEM 57.683594 1721737283.3995
MEM 57.960938 1721737283.4997
MEM 57.960938 1721737283.6000
MEM 57.960938 1721737283.7006
MEM 57.960938 1721737283.8009
MEM 57.960938 1721737283.9014
MEM 57.960938 1721737284.0016
MEM 57.960938 1721737284.1021
MEM 57.960938 1721737284.2025
MEM 57.960938 1721737284.3033
MEM 57.960938 1721737284.4036
MEM 57.960938 1721737284.5041
MEM 57.960938 1721737284.6048
MEM 57.960938 1721737284.7051
MEM 57.960938 1721737284.8054
MEM 57.960938 1721737284.9057
MEM 57.960938 1721737285.0061
MEM 57.960938 1721737285.1065
MEM 57.960938 1721737285.2071
MEM 57.960938 1721737285.3075
MEM 57.960938 1721737285.4078
MEM 57.968750 1721737285.5086
MEM 57.968750 1721737285.6092
MEM 57.972656 1721737285.7099
MEM 57.972656 1721737285.8105
MEM 57.972656 1721737285.9107
MEM 57.972656 1721737286.0110
MEM 58.968750 1721737286.1113
MEM 58.968750 1721737286.2118
MEM 58.898438 1721737286.3124
MEM 58.898438 1721737286.4129
MEM 58.898438 1721737286.5134
MEM 58.898438 1721737286.6139
MEM 58.917969 1721737286.7144
MEM 58.917969 1721737286.8149
MEM 58.917969 1721737286.9155
MEM 58.917969 1721737287.0161
MEM 58.917969 1721737287.1167
MEM 58.917969 1721737287.2170
MEM 58.917969 1721737287.3175
MEM 58.917969 1721737287.4181
MEM 58.917969 1721737287.5184
MEM 58.917969 1721737287.6187
MEM 58.917969 1721737287.7192
MEM 58.917969 1721737287.8195
MEM 58.917969 1721737287.9198
MEM 58.917969 1721737288.0204
MEM 58.917969 1721737288.1208
MEM 58.917969 1721737288.2214
MEM 58.917969 1721737288.3220
MEM 58.917969 1721737288.4227
MEM 58.917969 1721737288.5232
MEM 58.917969 1721737288.6235
MEM 58.917969 1721737288.7241
MEM 58.917969 1721737288.8247
MEM 58.917969 1721737288.9250
MEM 58.917969 1721737289.0253
MEM 58.917969 1721737289.1260
MEM 58.917969 1721737289.2264
