CMDLINE .\SDL1.exe
MEM 58.042969 1721737172.4072
MEM 58.042969 1721737172.5077
MEM 58.042969 1721737172.6080
MEM 58.042969 1721737172.7084
MEM 58.042969 1721737172.8090
MEM 58.042969 1721737172.9095
MEM 58.042969 1721737173.0097
MEM 58.042969 1721737173.1101
MEM 58.042969 1721737173.2104
MEM 58.042969 1721737173.3109
MEM 58.042969 1721737173.4116
MEM 58.042969 1721737173.5122
MEM 58.042969 1721737173.6128
MEM 58.042969 1721737173.7133
MEM 58.042969 1721737173.8135
MEM 58.042969 1721737173.9139
MEM 58.042969 1721737174.0141
MEM 58.042969 1721737174.1143
MEM 58.042969 1721737174.2148
MEM 58.042969 1721737174.3151
MEM 58.042969 1721737174.4154
MEM 58.042969 1721737174.5158
MEM 58.042969 1721737174.6165
MEM 58.042969 1721737174.7168
MEM 58.042969 1721737174.8171
MEM 58.042969 1721737174.9175
MEM 58.042969 1721737175.0181
MEM 58.042969 1721737175.1185
MEM 58.042969 1721737175.2190
MEM 58.042969 1721737175.3195
MEM 58.042969 1721737175.4200
MEM 58.042969 1721737175.5204
MEM 58.042969 1721737175.6209
MEM 58.042969 1721737175.7215
MEM 58.042969 1721737175.8218
MEM 58.042969 1721737175.9222
MEM 58.042969 1721737176.0226
MEM 58.042969 1721737176.1231
MEM 58.042969 1721737176.2234
MEM 58.042969 1721737176.3239
MEM 58.042969 1721737176.4242
MEM 58.042969 1721737176.5247
MEM 58.042969 1721737176.6253
MEM 58.042969 1721737176.7259
MEM 58.042969 1721737176.8264
MEM 58.042969 1721737176.9269
MEM 58.042969 1721737177.0273
MEM 58.042969 1721737177.1280
MEM 58.042969 1721737177.2286
MEM 58.042969 1721737177.3289
MEM 58.042969 1721737177.4292
MEM 58.042969 1721737177.5297
MEM 58.042969 1721737177.6302
MEM 58.042969 1721737177.7308
MEM 58.042969 1721737177.8316
MEM 58.042969 1721737177.9322
MEM 58.042969 1721737178.0326
MEM 58.042969 1721737178.1331
MEM 58.042969 1721737178.2333
MEM 58.042969 1721737178.3337
MEM 58.042969 1721737178.4343
MEM 58.042969 1721737178.5348
MEM 58.042969 1721737178.6352
MEM 58.042969 1721737178.7358
MEM 58.042969 1721737178.8360
MEM 58.042969 1721737178.9366
MEM 58.042969 1721737179.0371
MEM 58.042969 1721737179.1376
MEM 58.042969 1721737179.2382
MEM 58.042969 1721737179.3386
MEM 58.042969 1721737179.4392
MEM 58.042969 1721737179.5396
MEM 58.042969 1721737179.6400
MEM 58.042969 1721737179.7404
MEM 58.042969 1721737179.8409
MEM 58.042969 1721737179.9415
MEM 58.042969 1721737180.0418
MEM 58.042969 1721737180.1425
MEM 58.042969 1721737180.2427
MEM 58.042969 1721737180.3429
MEM 58.042969 1721737180.4432
MEM 58.042969 1721737180.5439
MEM 58.042969 1721737180.6444
MEM 58.042969 1721737180.7449
MEM 58.042969 1721737180.8453
MEM 58.042969 1721737180.9455
MEM 58.042969 1721737181.0459
MEM 58.042969 1721737181.1463
MEM 58.042969 1721737181.2468
MEM 58.042969 1721737181.3475
MEM 58.042969 1721737181.4477
MEM 58.042969 1721737181.5483
MEM 58.042969 1721737181.6490
MEM 58.042969 1721737181.7495
MEM 58.042969 1721737181.8499
MEM 58.042969 1721737181.9505
MEM 58.042969 1721737182.0510
MEM 58.042969 1721737182.1514
MEM 58.042969 1721737182.2518
MEM 58.042969 1721737182.3521
MEM 58.042969 1721737182.4524
MEM 58.042969 1721737182.5529
MEM 58.042969 1721737182.6532
MEM 58.042969 1721737182.7536
MEM 58.042969 1721737182.8540
MEM 58.042969 1721737182.9547
MEM 58.042969 1721737183.0551
MEM 58.042969 1721737183.1556
MEM 58.042969 1721737183.2561
MEM 58.042969 1721737183.3568
MEM 58.042969 1721737183.4571
MEM 58.042969 1721737183.5576
MEM 58.042969 1721737183.6583
MEM 58.078125 1721737183.7589
MEM 58.078125 1721737183.8595
MEM 58.078125 1721737183.9601
MEM 58.078125 1721737184.0606
MEM 58.078125 1721737184.1611
MEM 58.078125 1721737184.2616
MEM 58.078125 1721737184.3620
MEM 58.078125 1721737184.4624
MEM 58.078125 1721737184.5627
MEM 58.078125 1721737184.6633
MEM 58.078125 1721737184.7640
MEM 58.078125 1721737184.8645
MEM 58.078125 1721737184.9651
MEM 58.078125 1721737185.0655
MEM 58.078125 1721737185.1658
MEM 58.078125 1721737185.2662
MEM 58.078125 1721737185.3664
MEM 58.078125 1721737185.4671
MEM 58.078125 1721737185.5677
MEM 58.078125 1721737185.6683
MEM 58.078125 1721737185.7686
MEM 58.078125 1721737185.8688
MEM 58.078125 1721737185.9692
MEM 58.078125 1721737186.0697
MEM 58.078125 1721737186.1701
MEM 58.078125 1721737186.2707
MEM 58.078125 1721737186.3710
MEM 58.078125 1721737186.4715
MEM 58.078125 1721737186.5721
MEM 58.078125 1721737186.6728
MEM 58.078125 1721737186.7730
MEM 58.078125 1721737186.8737
MEM 58.078125 1721737186.9739
MEM 58.078125 1721737187.0746
MEM 58.078125 1721737187.1749
MEM 58.078125 1721737187.2751
MEM 58.078125 1721737187.3756
MEM 58.078125 1721737187.4759
MEM 58.078125 1721737187.5764
MEM 58.078125 1721737187.6770
MEM 58.078125 1721737187.7775
MEM 58.078125 1721737187.8781
MEM 58.078125 1721737187.9784
MEM 58.078125 1721737188.0788
MEM 58.078125 1721737188.1792
MEM 58.078125 1721737188.2799
MEM 58.078125 1721737188.3803
MEM 58.078125 1721737188.4810
MEM 58.078125 1721737188.5816
MEM 58.078125 1721737188.6822
MEM 58.078125 1721737188.7826
MEM 58.078125 1721737188.8832
MEM 58.078125 1721737188.9839
MEM 58.078125 1721737189.0842
MEM 58.078125 1721737189.1847
MEM 58.078125 1721737189.2853
MEM 58.078125 1721737189.3858
MEM 58.078125 1721737189.4860
MEM 58.078125 1721737189.5865
MEM 58.078125 1721737189.6871
MEM 58.078125 1721737189.7877
MEM 58.078125 1721737189.8880
MEM 58.078125 1721737189.9884
MEM 58.078125 1721737190.0890
MEM 58.078125 1721737190.1896
MEM 58.078125 1721737190.2899
MEM 58.078125 1721737190.3905
MEM 58.078125 1721737190.4909
MEM 58.078125 1721737190.5912
MEM 58.078125 1721737190.6918
MEM 58.078125 1721737190.7921
MEM 58.078125 1721737190.8925
MEM 58.078125 1721737190.9927
MEM 58.078125 1721737191.0934
MEM 58.078125 1721737191.1939
MEM 58.078125 1721737191.2942
MEM 58.078125 1721737191.3945
MEM 58.078125 1721737191.4948
MEM 58.078125 1721737191.5954
MEM 58.078125 1721737191.6959
MEM 58.078125 1721737191.7962
MEM 58.078125 1721737191.8964
MEM 58.078125 1721737191.9971
MEM 58.078125 1721737192.0975
MEM 58.078125 1721737192.1980
MEM 58.078125 1721737192.2983
MEM 58.078125 1721737192.3987
MEM 58.078125 1721737192.4993
MEM 58.078125 1721737192.5998
MEM 58.078125 1721737192.7005
MEM 58.078125 1721737192.8010
MEM 58.078125 1721737192.9015
MEM 58.078125 1721737193.0018
MEM 58.078125 1721737193.1024
MEM 58.078125 1721737193.2031
MEM 58.078125 1721737193.3033
MEM 58.078125 1721737193.4037
MEM 58.078125 1721737193.5043
MEM 58.078125 1721737193.6050
MEM 58.078125 1721737193.7053
MEM 58.078125 1721737193.8057
MEM 58.078125 1721737193.9063
MEM 58.078125 1721737194.0068
MEM 58.078125 1721737194.1073
MEM 58.078125 1721737194.2077
MEM 58.078125 1721737194.3080
MEM 58.078125 1721737194.4083
MEM 58.078125 1721737194.5088
MEM 58.078125 1721737194.6093
MEM 58.078125 1721737194.7096
MEM 58.078125 1721737194.8098
MEM 58.078125 1721737194.9104
MEM 58.078125 1721737195.0106
